team_id,team_name,n_games,median_p10,median_p5,std_p10,home_p10,away_p10,neutral_p10,f10_win_rate
149,Montana,5,31.0,16.0,22.25,27.5,39.0,33.25,0.4
2509,Purdue,37,31.0,16.0,18.88,36.0,31.0,33.5,0.7568
275,Wisconsin,19,32.0,16.0,25.59,37.0,32.0,34.5,0.5789
135,Minnesota,8,35.0,13.5,18.51,35.0,34.0,34.5,0.5
193,Miami OH,16,35.0,18.0,15.48,39.0,33.5,36.25,0.8125
314,Iona,5,36.0,11.0,11.0,45.0,30.0,37.5,0.8
2378,UMBC,5,41.0,36.0,17.55,28.0,48.0,38.0,0.4
201,Oklahoma,6,38.5,16.0,9.23,40.0,37.0,38.5,0.3333
238,Vanderbilt,31,43.0,19.0,25.78,43.5,34.0,38.75,0.6452
62,Hawai'i,7,46.0,27.0,30.61,52.0,27.0,39.5,0.5714
2641,Texas Tech,34,37.0,18.5,16.88,34.5,45.0,39.75,0.6176
344,Mississippi St,6,40.5,23.0,27.16,35.0,46.0,40.5,0.6667
2599,St John's,28,43.0,20.0,26.21,33.0,48.0,40.5,0.6429
2771,Merrimack,7,36.0,27.0,59.34,34.0,48.0,41.0,0.4286
150,Duke,36,40.0,20.0,22.84,43.5,39.0,41.25,0.6389
2815,Lindenwood,6,36.5,19.0,14.22,33.0,52.0,42.5,0.8333
41,UConn,36,42.5,19.5,22.3,42.5,42.5,42.5,0.6944
356,Illinois,34,43.0,20.5,14.69,41.0,46.5,43.75,0.7353
2670,VCU,7,50.0,22.0,36.22,38.0,50.0,44.0,0.4286
70,Idaho,5,43.0,28.0,37.31,54.5,34.0,44.25,0.4
2567,SMU,10,44.5,18.0,20.72,48.0,41.0,44.5,0.6
26,UCLA,19,40.0,22.0,23.36,38.0,51.0,44.5,0.5263
2507,Providence,7,45.0,20.0,25.78,47.0,42.0,44.5,0.4286
2065,Bethune,6,50.0,15.5,16.81,32.0,57.0,44.5,0.3333
8,Arkansas,36,44.5,20.5,16.1,43.0,47.0,45.0,0.6389
142,Missouri,11,45.0,30.0,17.94,45.5,45.0,45.25,0.2727
2698,West Georgia,5,48.0,25.0,17.42,31.0,60.0,45.5,0.6
9,Arizona St,10,50.5,25.0,29.25,38.0,53.0,45.5,0.5
57,Florida,35,47.0,21.0,12.9,43.0,48.5,45.75,0.7429
61,Georgia,15,49.0,18.0,24.6,40.5,51.0,45.75,0.5333
2582,Southern,5,49.0,38.0,32.22,18.0,73.5,45.75,0.2
97,Louisville,34,46.0,19.0,29.71,45.0,47.0,46.0,0.6765
2454,North Florida,6,54.0,26.0,27.01,33.0,59.5,46.25,0.5
156,Creighton,8,46.5,25.0,19.74,44.0,49.0,46.5,0.25
13,Cal Poly,5,31.0,17.0,31.64,67.5,26.0,46.75,0.6
251,Texas,13,48.0,26.0,23.21,37.0,57.5,47.25,0.4615
130,Michigan,36,45.5,19.5,21.82,42.0,53.0,47.5,0.6111
112358,Long Island,6,47.5,25.0,14.35,,47.5,47.5,0.5
158,Nebraska,25,47.0,21.0,20.03,59.0,36.0,47.5,0.64
261,Vermont,5,48.0,24.0,28.51,,48.0,48.0,0.2
331,E Washington,5,47.0,23.0,22.19,65.5,31.0,48.25,0.4
333,Alabama,30,45.5,20.5,21.01,40.0,57.0,48.5,0.7
248,Houston,36,48.0,25.5,29.67,53.5,44.0,48.75,0.6667
2250,Gonzaga,35,52.0,22.0,22.47,44.0,53.5,48.75,0.6
2305,Kansas,33,50.0,19.0,28.48,50.0,48.5,49.25,0.5455
153,North Carolina,33,47.0,23.0,18.16,40.5,59.0,49.75,0.6061
2739,Green Bay,7,39.0,24.0,33.24,61.0,38.5,49.75,0.5714
2066,Binghamton,5,47.0,18.0,15.46,39.5,62.0,50.75,0.8
12,Arizona,36,51.5,24.5,18.63,53.0,48.5,50.75,0.6944
2294,Iowa,14,46.0,22.0,34.3,59.5,42.5,51.0,0.5714
3101,Utah Tech,5,65.0,22.0,12.54,37.0,65.5,51.25,0.2
2750,Wright St,5,57.0,28.0,13.65,57.0,48.5,52.75,0.8
2390,Miami,11,50.0,28.0,24.46,58.0,48.0,53.0,0.4545
30,USC,10,57.0,28.5,33.27,63.0,44.0,53.5,0.4
139,Saint Louis,15,36.0,21.0,32.83,73.5,34.0,53.75,0.6
58,South Florida,6,43.5,23.5,28.28,37.0,71.0,54.0,0.3333
2,Auburn,19,55.0,22.0,18.6,50.5,58.0,54.25,0.5789
300,UC Irvine,5,49.0,28.0,14.26,60.0,48.5,54.25,1.0
228,Clemson,17,58.0,23.0,21.6,51.0,58.0,54.5,0.4118
127,Michigan St,34,53.5,26.5,25.47,61.0,48.0,54.5,0.4706
2633,Tennessee,30,56.0,22.0,26.86,57.0,53.0,55.0,0.6667
155,North Dakota,6,57.0,17.5,10.16,47.0,63.0,55.0,0.8333
2550,Seton Hall,7,58.0,27.0,12.44,58.0,53.0,55.5,0.5714
96,Kentucky,22,54.0,19.5,37.67,47.0,65.0,56.0,0.5909
66,Iowa State,36,56.0,26.5,24.08,54.0,58.0,56.0,0.6667
2504,Prairie View,5,51.0,22.0,8.37,65.0,47.0,56.0,0.6
87,Notre Dame,5,41.0,35.0,43.12,71.5,41.0,56.25,0.4
152,NC State,14,54.0,24.0,35.12,67.0,46.0,56.5,0.5
2097,Campbell,6,56.5,31.5,11.62,58.0,55.0,56.5,0.6667
2296,Jackson St,7,73.0,29.0,29.33,30.0,83.0,56.5,0.2857
222,Villanova,8,59.0,21.5,26.64,54.0,59.0,56.5,0.375
258,Virginia,27,59.0,24.0,32.84,54.5,59.0,56.75,0.6296
254,Utah,7,58.0,25.0,27.34,55.5,58.0,56.75,0.1429
239,Baylor,11,52.0,24.0,19.03,50.0,64.0,57.0,0.2727
2473,Oakland,7,57.0,29.0,28.82,57.0,57.0,57.0,0.2857
2571,S Dakota St,6,60.5,26.5,13.37,53.5,60.5,57.0,0.3333
2413,Morehead St,5,54.0,29.0,11.15,60.5,54.0,57.25,0.4
2460,Northern Iowa,5,44.0,25.0,33.16,34.0,80.5,57.25,0.6
2916,Incarnate Word,5,48.0,41.0,25.36,42.5,73.0,57.75,0.6
2837,E Texas A&M,5,50.0,22.0,30.42,48.0,68.0,58.0,0.4
2377,McNeese,6,58.0,24.5,21.41,57.0,59.0,58.0,0.5
2541,Santa Clara,5,58.0,23.0,15.97,64.0,52.0,58.0,0.6
252,BYU,31,59.0,29.0,21.34,59.0,57.5,58.25,0.4516
2649,Toledo,5,62.0,22.0,9.61,49.5,67.0,58.25,0.2
197,Oklahoma St,9,68.0,31.0,31.09,70.0,47.0,58.5,0.5556
59,Georgia Tech,5,56.0,22.0,50.37,76.0,41.0,58.5,0.2
2572,Southern Miss,5,50.0,28.0,17.08,67.5,50.0,58.75,0.2
47,Howard,6,57.5,20.0,16.37,46.5,72.0,59.25,0.5
2579,South Carolina,7,64.0,44.0,27.34,67.0,52.0,59.5,0.1429
147,Montana St,5,61.0,15.0,10.01,61.0,58.0,59.5,0.4
25,California,6,59.5,21.5,26.8,62.0,57.0,59.5,0.5
2132,Cincinnati,9,56.0,27.0,32.32,64.5,55.0,59.75,0.5556
2441,New Haven,5,70.0,25.0,33.96,51.0,70.0,60.5,0.4
304,Idaho St,5,61.0,20.0,24.84,42.5,79.0,60.75,0.4
46,Georgetown,5,57.0,19.0,20.97,80.0,42.0,61.0,0.4
2116,UCF,11,59.0,21.0,40.63,50.0,72.5,61.25,0.2727
145,Ole Miss,9,70.0,23.0,27.63,50.0,73.5,61.75,0.4444
160,New Hampshire,6,61.0,27.0,20.84,78.5,47.5,63.0,0.3333
84,Indiana,12,53.5,31.0,30.53,51.0,75.0,63.0,0.4167
2443,New Orleans,5,60.0,29.0,42.41,46.0,81.0,63.5,0.4
52,Florida St,6,69.0,32.0,23.66,44.5,82.5,63.5,0.1667
77,Northwestern,8,64.0,28.0,23.64,49.5,77.5,63.5,0.375
2565,SIUE,5,60.0,29.0,25.81,74.0,53.5,63.75,0.4
2239,Fullerton,5,64.0,36.0,16.46,54.5,74.0,64.25,0.4
2368,Marist,5,73.0,39.0,26.59,73.0,56.0,64.5,0.4
2885,NJIT,5,69.0,29.0,23.75,61.5,69.0,65.25,0.4
183,Syracuse,7,73.0,32.0,23.22,46.0,86.0,66.0,0.4286
24,Stanford,7,63.0,19.0,31.57,60.0,74.0,67.0,0.2857
194,Ohio State,12,58.0,22.5,22.14,57.0,79.0,68.0,0.4167
2934,Bakersfield,6,68.5,36.0,32.03,65.0,72.0,68.5,0.5
161,FDU,5,69.0,41.0,16.89,53.0,85.0,69.0,0.8
38,Colorado,8,56.5,45.0,48.08,52.5,86.0,69.25,0.375
305,DePaul,5,66.0,28.0,22.81,66.0,73.5,69.75,0.2
27,UC Riverside,7,69.0,32.0,37.84,61.5,79.0,70.25,0.2857
2306,Kansas St,10,75.0,38.0,29.11,49.0,92.0,70.5,0.3
2628,TCU,12,62.0,23.5,22.17,91.0,54.0,72.5,0.5
259,Virginia Tech,6,74.5,33.0,26.38,83.0,62.5,72.75,0.1667
2608,Saint Mary's,5,72.0,41.0,8.08,67.0,78.5,72.75,0.0
2463,CSU Northridge,5,75.0,29.0,26.9,77.0,70.0,73.5,0.2
2483,Oregon,9,68.0,35.0,35.18,68.0,80.0,74.0,0.2222
