person1,person2,weight,relation_types,documents_count
Ζουρδανος Δια,Διδαλσα,1,co_occurs_in_document,1
Θωῦθ,Εἰρήνηι,1,co_occurs_in_document,1
Θωῦθ,Εἰρήνη,1,co_occurs_in_document,1
Θωῦθ,Φαῶφι,1,co_occurs_in_document,1
Θωῦθ,Φαῶφι Θερμούθει,1,co_occurs_in_document,1
Θωῦθ,Θαήσει,1,co_occurs_in_document,1
Θωῦθ,Θερμούθει,1,co_occurs_in_document,1
Θωῦθ,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Θωῦθ,Τῦβι,1,co_occurs_in_document,1
Θωῦθ,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Θωῦθ,Θεσμοφό,1,co_occurs_in_document,1
Θωῦθ,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Θωῦθ,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Θωῦθ,Μεχείρ,1,co_occurs_in_document,1
Θωῦθ,Μεχεὶρ,1,co_occurs_in_document,1
Θωῦθ,Φαμενὼθ,1,co_occurs_in_document,1
Θωῦθ,Φαρμοῦ,1,co_occurs_in_document,1
Θωῦθ,Φαρμοῦθι,1,co_occurs_in_document,1
Θωῦθ,Χοιάχ,1,co_occurs_in_document,1
Θωῦθ,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Εἰρήνηι,Εἰρήνη,1,co_occurs_in_document,1
Εἰρήνηι,Φαῶφι,1,co_occurs_in_document,1
Εἰρήνηι,Φαῶφι Θερμούθει,1,co_occurs_in_document,1
Εἰρήνηι,Θαήσει,1,co_occurs_in_document,1
Εἰρήνηι,Θερμούθει,1,co_occurs_in_document,1
Εἰρήνηι,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Εἰρήνηι,Τῦβι,1,co_occurs_in_document,1
Εἰρήνηι,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Εἰρήνηι,Θεσμοφό,1,co_occurs_in_document,1
Εἰρήνηι,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Εἰρήνηι,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Εἰρήνηι,Μεχείρ,1,co_occurs_in_document,1
Εἰρήνηι,Μεχεὶρ,1,co_occurs_in_document,1
Εἰρήνηι,Φαμενὼθ,1,co_occurs_in_document,1
Εἰρήνηι,Φαρμοῦ,1,co_occurs_in_document,1
Εἰρήνηι,Φαρμοῦθι,1,co_occurs_in_document,1
Εἰρήνηι,Χοιάχ,1,co_occurs_in_document,1
Εἰρήνηι,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Εἰρήνη,Φαῶφι,1,co_occurs_in_document,1
Εἰρήνη,Φαῶφι Θερμούθει,1,co_occurs_in_document,1
Εἰρήνη,Θαήσει,1,co_occurs_in_document,1
Εἰρήνη,Θερμούθει,1,co_occurs_in_document,1
Εἰρήνη,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Εἰρήνη,Τῦβι,1,co_occurs_in_document,1
Εἰρήνη,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Εἰρήνη,Θεσμοφό,1,co_occurs_in_document,1
Εἰρήνη,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Εἰρήνη,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Εἰρήνη,Μεχείρ,1,co_occurs_in_document,1
Εἰρήνη,Μεχεὶρ,1,co_occurs_in_document,1
Εἰρήνη,Φαμενὼθ,1,co_occurs_in_document,1
Εἰρήνη,Φαρμοῦ,1,co_occurs_in_document,1
Εἰρήνη,Φαρμοῦθι,1,co_occurs_in_document,1
Εἰρήνη,Χοιάχ,1,co_occurs_in_document,1
Εἰρήνη,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Φαῶφι,Φαῶφι Θερμούθει,1,co_occurs_in_document,1
Φαῶφι,Θαήσει,1,co_occurs_in_document,1
Φαῶφι,Θερμούθει,1,co_occurs_in_document,1
Φαῶφι,Χοιὰχ Εἰρήνη,1,co_occurs_in_document,1
Φαῶφι,Τῦβι,1,co_occurs_in_document,1
Φαῶφι,Χοιὰχ Θερμούθει,1,co_occurs_in_document,1
Φαῶφι,Θεσμοφό,1,co_occurs_in_document,1
Φαῶφι,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Φαῶφι,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Φαῶφι,Μεχείρ,1,co_occurs_in_document,1
Φαῶφι,Μεχεὶρ,1,co_occurs_in_document,1
Φαῶφι,Φαμενὼθ,1,co_occurs_in_document,1
Φαῶφι,Φαρμοῦ,1,co_occurs_in_document,1
Φαῶφι,Φαρμοῦθι,2,co_occurs_in_document,2
Φαῶφι,Χοιάχ,1,co_occurs_in_document,1
Φαῶφι,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Φαῶφι,Αὐτοκράτορος Καίσαρος,3,co_occurs_in_document,3
Φαῶφι,Τίτου Αἰλίου,2,co_occurs_in_document,2
Φαῶφι,Σεβαστοῦ Εὐσεβοῦς,2,co_occurs_in_document,2
Φαῶφι,Μα,1,co_occurs_in_document,1
Φαῶφι,Διοσκόρου Σαραπίωνι,1,co_occurs_in_document,1
Φαῶφι,Δη,1,co_occurs_in_document,1
Φαῶφι,Ταμύσ,1,co_occurs_in_document,1
Φαῶφι,Διοδώρας,1,co_occurs_in_document,1
Φαῶφι,Γυμνασίου,1,co_occurs_in_document,1
Φαῶφι,Θεογίτο,1,co_occurs_in_document,1
Φαῶφι,Σεκνε,1,co_occurs_in_document,1
Φαῶφι,Παῦνι,2,co_occurs_in_document,2
Φαῶφι,Σαραπίων Δημητρίου,1,co_occurs_in_document,1
Φαῶφι,Σαραπίων,1,co_occurs_in_document,1
Φαῶφι,Πτολεμαίωι,1,co_occurs_in_document,1
Φαῶφι,Ασ,1,co_occurs_in_document,1
Φαῶφι,Γτμ,1,co_occurs_in_document,1
Φαῶφι,Ασμ,1,co_occurs_in_document,1
Φαῶφι,Ψόϊς Κάστορος,1,co_occurs_in_document,1
Φαῶφι,Φίβιος,1,co_occurs_in_document,1
Φαῶφι,Μεσορὴ,1,co_occurs_in_document,1
Φαῶφι,Πεκῦσις,1,co_occurs_in_document,1
Φαῶφι,Τεμενκύρκει,1,co_occurs_in_document,1
